id,Source,Target,Date
1375,Henry Laurens,William Thomson,1777-08-17
1376,Henry Laurens,John Rutledge,1777-08-17
1377,Henry 03chant,Nicholas Cooke,1777-08-17
1378,John Hancock,George Washington,1777-08-17
1379,James Lovell,William Whipple,1777-08-18
1380,John Adams,James Warren,1777-08-18
1381,Henry Laurens,John Rutledge,1777-08-19
1382,John Adams,Mrs. Adams,1777-08-19
1383,George Frost,Josiah Bartlett,1777-08-19
1384,George Frost,Josiah Bartlett,1777-08-19
1385,William Paca,Thomas Johnson jr.,1777-08-19
1386,Henry Laurens,Joseph Clay,1777-08-20
1387,John Adams,Mrs. Adams,1777-08-20
1388,Benjamin Harrison,George Washington,1777-08-20
1389,Roger Sherman,Horatio Gates,1777-08-20
1390,Henry Laurens,John Lewis Gervais,1777-08-21
1391,John Adams,Mrs. Adams,1777-08-21
1392,James Lovell,Oliver Wolcott,1777-08-21
1393,John Hancock,George Washington,1777-08-21
1394,New Hampshire Delegates,Meshech Weare,1777-08-22
1395,John Hancock,George Washington,1777-08-22
1396,James Duane,Philip Schuyler,1777-08-23
1397,Cornelius Harnett,Richard Caswell,1777-08-23
1398,John Hancock, Pennsylvania Council,1777-08-23
1399,Henry 03chant,Nicholas Cooke,1777-08-24
1400,John Hancock, New Hampshire Assembly,1777-08-25
1401,Richard Henry Lee,Thomas Jefferson,1777-08-25
1402,Henry Laurens,Heads of Inquiry as to State of Army,1777-08-27
1403,Henry Laurens,Lachlan Mcintosh,1777-09-01
1404,New Hampshire Delegates,Meshech Weare,1777-09-02
1405,Thomas Burke,Richard Caswell,1777-09-02
1406,Committee of Intelligence,George Washington,1777-09-02
1407,James Duane,Robert R. Livingston,1777-09-03
1408,John Hancock,Israel riitiiani,1777-09-03
1409,Robert Morris,William Whipple,1777-09-04
1410,Committee of CoiiRress,Joseph Trumhbull,1777-09-05
1411,John Hancock,William Livingston,1777-09-05
1412,Henry Laurens,John Lewis Gervais,1777-09-05
1413,Committee of Congress,George Washington,1777-09-06
1414,John Hancock,George Washington,1777-09-04
1415,James Lowell,Joseph Triimhull,1777-09-07
1416,Kliphalet Dyer,Joseph Trumbull,1777-09-07
1417,James Lowell,Vicomte dv Mauroy,1777-09-08
1418,Richard Henry Lee,Patrick Henry,1777-09-08
1419,John Adams,Mrs. Adams,1777-09-08
1420,John Hancock,George Washington,1777-09-09
1421,Henry Laurens,John Rutledge,1777-09-10
1422,Eliphalet Dyer,Joseph Trumbull,1777-09-12
1423,John Hancock,George Washington,1777-09-12
1424,John Hancock,William Livingston,1777-09-12
1425,John Hancock,George Washington,1777-09-13
1426,Samuel Chase,Thomas Johnson jr.,1777-09-13
1427,John Adams,Mrs. Adams,1777-09-14
1428,Henry Laurens,George Galphin,1777-09-16
1429,Henry 03chant, Rhode Island Assembly,1777-09-17
1430,James Lovell,William Whipple,1777-09-17
1431,William Williams,Jonathan Trumbull,1777-09-17
1432,Thomas Burke,Richard Caswell,1777-09-17
1433,John Adams,Diary,1777-09-18
1434,Henry Laurens,John Lewis Gervais,1777-09-18
1435,John Adams,Diary,1777-09-19
1436,Thomas Burke,Richard Caswell,1777-09-20
1437,Charles Carroll of Carrollton,George Washington,1777-09-22
1438,James Lovell,Joseph Trumbull,1777-09-23
1439,654. I^Ibridge Gerry,George Washington,1777-09-24
1440,Elbridge Gerry,George Washington,1777-09-25
1441,Cornelius Harnett,William Wilkinson,1777-09-25
1442,Jolin Hancock,George Washington,1777-09-26
1443,Cornelius Harnett,Richard Caswell,1777-09-27
1444,Eliphalet Dyer,Joseph Trumbull,1777-09-28
1445,John Hancock,George Washington,1777-09-30
1446,John Adams,Mrs. Adams,1777-09-30
1447,William Williams,Jonathan Trumbull,1777-09-30
1448,Daniel Roberdeau,Thomas Wharton jr.,1777-10-01
1449,Elbridge Gerry,Joseph Trumbull,1777-10-02
1450,John Hancock, Massachusetts Council,1777-10-03
1451,James Duane,George Clinton,1777-10-03
1452,John Penn,Richard Caswell,1777-10-05
1453,John Hancock,Robert Morris,1777-10-05
1454,James Duane,Philip Schuyler,1777-10-05
1455,James Duane,Jonathan Trumbull jr.,1777-10-05
1456,James Lovell,Horatio Gates,1777-10-05
1457,Committee of Foreign Affairs, Commissioners in Paris,1777-10-06
1458,John Hancock,John Nixon,1777-10-06
1459,Richard Henry Lee,Patrick Henry,1777-10-08
1460,John Hancock, Massachusetts Council,1777-10-08
1461,Eliphalet Dyer,Joseph Trumbull,1777-10-08
1462,James Duane,Philip Schuyler,1777-10-09
1463,Henry Laurens,John Lewis Gervais,1777-10-09
1464,Samuel Chase,Thomas Johnson jr.,1777-10-10
1465,Cornelius Harnett,Richard Caswell,1777-10-10
1466,Henry Laurens,John Laurens,1777-10-10
1467,Daniel Roberdeau,Thomas Wharton jr.,1777-10-10
1468,William Williams,Jonathan Trumbull,1777-10-11
1469,Eliphalet Dyer,John Sullivan,1777-10-11
1470,John Hancock,George Washington,1777-10-12
1471,Thomas Burke,John Sullivan,1777-10-12
1472,Daniel Roberdeau,Thomas Wharton jr.,1777-10-14
1473,John Hancock,George Washington,1777-10-14
1474,Henry Laurens,John Laurens,1777-10-16
1475,Henry Laurens,John Rutledge,1777-10-16
1476,Henry Laurens,John Lewis Gervais,1777-10-16
1477,Richard Henry Lee,Hall,1777-10-17
1478,Richard Henry Lee,Sellers,1777-10-17
1479,John Hancock,George Washington,1777-10-17
1480,John Harvie,Thomas Jefferson,1777-10-17
1481,John Hancock,Mrs. Hancock,1777-10-18
1482,Henry Laurens,John Lewis Gervais,1777-10-18
1483,Henry Laurens,John Rutledge,1777-10-19
1484,Henry Laurens,Robert Howe,1777-10-20
1485,North Carolina Delegates,Richard Caswell,1777-10-20
1486,Richard Henry Lee,George Washington,1777-10-20
1487,William Williams,Jabez Huntington,1777-10-22
1488,Eliphalet Dyer,John Sullivan,1777-10-23
1489,John Adams,Mrs. Adams,1777-10-24
1490,Henry 03chant,Nicholas Cooke,1777-10-24
1491,Committee of Congress,Jasper Yeates,1777-10-24
1492,Committee of Congress,Edward Hand,1777-10-24
1493,Committee of Congress,unknown,1777-10-24
1494,John Adams,Mrs. Adams,1777-10-25
1495,John Hancock,George Washington,1777-10-25
1496,John Hancock,Thomas Jefferson,1777-10-25
1497,Richard Henry Lee,Patrick Henry,1777-10-25
1498,Nathaniel Folsom,Meshech Weare,1777-10-27
1499,John Adams,Mrs Adams,1777-10-28
1500,Richard Henry Lee,Patrick Henry,1777-10-28
1501,Samuel Adams,James Warren,1777-10-29
1502,Samuel Adams,James Warren,1777-10-30
1503,Daniel Roberdeau,Edward Hand,1777-10-30
1504,Nathaniel Folsom,Josiah Bartlett,1777-10-30
1505,Daniel Roberdeau,Timothy Matlack,1777-11-01
1506,Richard Henry Lee,Thomas Mifflin,1777-11-02
1507,Board of War,Horatio Gates,1777-11-02
1508,James Lovell,William Whipple,1777-11-03
1509,Roger Sherman,Richard Henry Lee,1777-11-03
1510,Samuel Adams,James Warren,1777-11-04
1511,Thomas Burke,Richard Caswell,1777-11-04
1512,William Williams,Joseph Trumbull,1777-11-04
1513,Eliphalet Dyer,Joseph Trumbull,1777-11-04
1514,Henry Laurens,Horatio Gates,1777-11-05
1515,Eliphalet Dyer,Horatio Gates,1777-11-05
1516,James Lovell,Horatio Gates,1777-11-05
1517,William Duer,George Clinton,1777-11-09
1518,Daniel Roberdeau,Thomas Wharton jr.,1777-11-10
1519,Cornelius Harnett,Thomas Burke,1777-11-13
1520,Henry Laurens,George Washington,1777-11-13
1521,Pennsylvania Delegates,Thomas Wharton jr.,1777-11-13
1522,Henry Laurens,Israel Putnam,1777-11-14
1523,Henry Laurens,Horatio Gates,1777-11-14
1524,Richard Henry Lee,Samuel Adams,1777-11-15
1525,Thomas Burke,Notes on Articles of Confederation,1777-11-15
1526,Thomas Burke,Re03ks concerning Confederation,1777-11-15
1527,Henry Laurens,Jolm Lewis ncrvais,1777-11-18
1528,Jonathan Ehner,William Maxwell,1777-11-18
1529,James Duane,Philip Schuyler,1777-11-19
1530,Henry Laurens,George Washington,1777-11-19
1531,John Penn,William Woodford,1777-11-05
1532,Daniel Robcrdeau,Thomas Wharton jr.,1777-11-19
1533,Cornelius I lamett,Thomas Hurke,1777-11-20
1534,Richard Henry Lee,George Washington,1777-11-20
1535,Nathaniel Folsom,Meshech Weare,1777-11-21
1536,Commercial Conmiittec,Edward Hand,1777-11-21
1537,James Duane, New York Council of Safety,1777-11-21
1538,Henry Laurens,George Washington,1777-11-22
1539,Henry Laurens,Horatio Gates,1777-11-23
1540,Richard Henry Lee,Samuel Adams,1777-11-23
1541,Richard Henry Lee,Meshech Weare,1777-11-24
1542,Henry Laurens,Richard Caswell,1777-11-25
1543,James Lovell,Horatio Gates,1777-11-27
1544,Elbridge Gerry,Joseph Trumbull,1777-11-27
1545,Henry Laurens,Horatio Gates,1777-11-28
1546,William Williams,Joseph Trumbull,1777-11-28
1547,William Williams,Jonathan Trumbull,1777-11-28
1548,Eliphalet Dyer,Joseph Trumbull,1777-11-28
1549,Henry Laurens,Horatio Gates,1777-11-29
1550,Henry Laurens,John Laurens,1777-11-30
1551,William Ellery,Nicholas Cooke,1777-11-30
1552,Cornelius Harnett,William Wilkinson,1777-11-30
1553,Henry Laurens,John Rutledge,1777-12-01
1554,Henry Laurens,Robert Treat Paine,1777-12-03
1555,James Lovell,Richard Henry Lee,1777-12-08
1556,James Lovell,John Adams,1777-12-08
1557,James Lovell,Samuel Adams,1777-12-08
1558,Cornelius Harnett,Thomas Burke,1777-12-08
1559,Cornelius Harnett,William Wilkinson,1777-12-08
1560,Eliphalet Dyer,Joseph Trumbull,1777-12-08
1561,Committee of Congress,George Washington,1777-12-10
1562,Henry Laurens, Continental Congress,1777-12-12
1563,William Ellery,Nicholas Cooke,1777-12-14
1564,Eliphalet Dyer,Joseph Trumbull,1777-12-15
1565,James Duane,Horatio Gates,1777-12-16
1566,James Duane,Philip Schuyler,1777-12-16
1567,Jonathan Bayard Smith,George Bryan,1777-12-19
1568,Jonathan Bayard Smith,George Bryan,1777-12-19
1569,Henry Laurens,Philip Schuyler,1777-12-20
1570,James Lovell,Samuel Adams,1777-12-20
1571,Abraham Clark,Lord Stirling,1777-12-20
1572,E[bridge Gerry,Robert Morris,1777-12-21
1573,Jonathan Bayard Smith,Thomas Wharton jr.,1777-12-22
1574,Henry Laurens,William Heath,1777-12-23
1575,William Ellery,William Whipple,1777-12-59
1576,Daniel Roberdeau,Thomas Wharton jr.,1777-12-24
1577,Henry Laurens,James Duane,1777-12-24
1578,Daniel Roberdeau,Thomas Wharton jr.,1777-12-26
1579,Henry Laurens,William Heath,1777-12-27
1580,Daniel Roberdeau,George Bryan,1777-12-29
1581,Henry Laurens,John Lewis Gervais,1777-12-30
1582,Francis Lightfoot Lee,Thomas W^harton jr.,1777-12-30
1583,Francis Lightfoot Lee,Thomas Johnson jr.,1777-12-31
1584,Henry Laurens,Robert Morris,1778-01-01
1585,Charles Thomson,Robert Morris,1778-01-01
1586,James Lovell,Samuel Adams,1778-01-02
1587,Henry Laurens, Navy Board,1778-01-02
1588,Nathaniel Folsom,Josiah Bartlett,1778-01-02
1589,John Wirspoon,Speech on Convention with Burgoyne,1778-01-02
1590,John Penn,Jethro Sumner,1778-01-02
1591,Henry Laurens,Jonathan Trumbull jr.,1778-01-03
1592,Henry Laurens,Jean de Kermovan,1778-01-03
1593,Henry Laurens,Nicholas Cooke,1778-01-03
1594,William Ellery,Nicholas Cooke,1778-01-04
1595,Henry Laurens,William Heath,1778-01-05
1596,Henry Laurens,George Washington,1778-01-05
1597,Henry Laurens,Jonathan Trumbull,1778-01-05
1598,Jonathan Bayard Smith,Timothy Matlack,1778-01-05
1599,Francis Lewis,Pierre Van Cortlandt,1778-01-05
1600,Francis Lewis,Evert Bancker,1778-01-05
1601,Henry Laurens,Jean de Kermovan,1778-01-06
1602,Henry Laurens,Ephraim Blaine,1778-01-06
1603,Henry Laurens,William Heath,1778-01-08
1604,Henry Laurens,Notes on Burgoyne's Letter to Gates,1778-01-08
1605,Henry Laurens,John Laurens,1778-01-08
1606,Henry Laurens,Thomas Johnson jr.,1778-01-12
1607,Henry Laurens,Richard Caswell,1778-01-12
1608,Henry Laurens,Samuel Purviance,1778-01-12
1609,Henry Laurens,Robert Purviance,1778-01-12
1610,James Duane,Henry Laurens,1778-01-12
1611,Henry Laurens,Marquis de Lafayette,1778-01-12
1612,James Lovell,Samuel Adams,1778-01-13
1613,Elbridge Gerry,George Washington,1778-01-13
1614,Henry Laurens,William Heath,1778-01-14
1615,Henry Laurens,George Clinton,1778-01-14
1616,Henry Laurens,John Laurens,1778-01-14
1617,William Ellery,Nicholas Cooke,1778-01-14
1618,Elbridge Gerry,Timothy Pickering,1778-01-15
1619, Commercial Committee,Samuel Purviance,1778-01-15
1620, Commercial Committee,Robert Purviance,1778-01-15
1621,Abraham Clark,Lord Stirling,1778-01-15
1622,Daniel Roberdeau,Thomas Wharton jr.,1778-01-16
1623,Henry Laurens,George Washington,1778-01-19
1624,Jonathan Bayard Smith,Timothy Matlack,1778-01-19
1625,James Lovell,Samuel Adams,1778-01-20
1626,Daniel Roberdeau,John Adams,1778-01-21
1627,Henry Laurens,William Heath,1778-01-22
1628,Joseph Jones,George Washington,1778-01-22
1629,James Lovell,Samuel Adams,1778-01-22
1630,Henry Laurens,Baron de Kalb,1778-01-22
1631,Henry Laurens, Marquis de Lafayette,1778-01-22
1632,Henry Laurens,John Laurens,1778-01-22
1633,Henry Laurens,Thomas Johnson jr.,1778-01-24
1634,Henry Laurens,John Laurens,1778-01-25
1635,Daniel Roberdeau,Thomas Wharton jr.,1778-01-26
1636,Gouverneur Morris,Henry Laurens,1778-01-26
1637,Henry Laurens,Isaac Motte,1778-01-26
1638,James Lovell,Joseph Trumbull,1778-01-27
1639,Daniel Roberdeau,George Brj'an,1778-01-27
1640,Francis Lewis,Thomas Johnson jr.,1778-01-27
1641,John Henry jr.,to Thomas Johnson jr.,1778-01-27
1642,Henry Laurens,George Washington,1778-01-27
1643,Henry Laurens, Chevalier de Laneuville,1778-01-27
1644,John Wirspoon,William Churchill Houston,1778-01-27
1645,Henry Laurens, Marquis de Lafayette,1778-01-28
1646,Henry Laurens,John Laurens,1778-01-28
1647, Committee of Conference,Minutes,1778-01-28
1648,Daniel Roberdeau,Thomas Wharton jr.,1778-01-30
1649,Henry Laurens,John Rutledge,1778-01-30
1650, Committee of Conference,Minutes,1778-01-31 
1651,Cornelius Harnett,Richard Caswell,1778-01-31
1652,George Frost,Josiah Bartlett,1778-01-31
1653,Gouverneur Morris,John Jay,1778-02-01
1654,John 'Wirspoon,Benjamin Rush,1778-02-02
1655,James Lovell,Benjamin Lincoln,1778-02-02
1656, Committee of Conference,Minutes,1778-02-03 
1657,Henry Laurens,John Laurens,1778-02-03
1658,Jonathan Bayard Smith,George Bryan,1778-02-03
1659,John Penn,Robert Morris,1778-02-04
1660, Committee of Conference,Miriutes,1778-02-05 
1661,James Lovell,Richard Henry Lee,1778-02-05
1662,John Penn,odorick Bland,1778-02-06
1663,James Lovell,Samuel Adams,1778-02-06
1664, Committee of Conference,Minutes,1778-02-06
1665,Henry Laurens, Marquis de Lafayette,1778-02-07
1666,Elbridge Gerry,Henry Knox,1778-02-07
1667,Elbridge Gerry,Samuel Adams,1778-02-07
1668,James Lovell,John Langdon,1778-02-08
1669,Eliphalet Dyer,Joseph Trumbull,1778-02-08
1670,Henry Laurens,Jonathan Trumbull,1778-02-09
1671,Cornelius Harnett,Richard Caswell,1778-02-10
1672, Committee of Conference,Minutes,1778-02-11 
1673, Committee of Conference,George Washington,1778-02-11
1674,Henry Laurens,Baron de Kalb,1778-02-11
1675,Thomas McKean,George Read,1778-02-12
1676, Committee of Conference,Minutes,1778-02-13
1677,William Ellery,William Churchill Houston,1778-02-13
1678,James Forbes,Thomas Johnson jr.,1778-02-13
1679,John Henry jr.,to Thomas Johnson jr.,1778-02-14
1680, Committee of Conference,Minutes,1778-02-16
1681, Committee of Conference,Thomas Johnson jr.,1778-02-16
1682,Daniel Roberdeau,Thomas Wharton jr.,1778-02-17
1683,Eliphalet Dyer,William Williams,1778-02-17
1684, Committee of Conference,Minutes,1778-02-18 
1685,Oliver Wolcott,Mrs. Wolcott,1778-02-18
1686,Henry Laurens,Joseph Trumbull,1778-02-19
1687,John Penn,Robert R. Livingston,1778-02-19
1688,Henry Laurens,George Washington,1778-02-19
1689, Committee of Conference,Minutes,1778-02-19
1690,Henry Laurens,Francis Dana,1778-02-20
1691,Henry Laurens,William Heath,1778-02-20
1692,Jonathan Bayard Smith,Joseph Reed,1778-02-21
1693,Daniel Roberdeau,James McLene,1778-02-21
1694, Commercial Committee,Robert Morris,1778-02-21
1695, Committee of Conference,Minutes,1778-02-25 
1696,Daniel Roberdeau,Thomas Wharton jr.,1778-02-23
1697,Samuel Huntington,Jabez Huntington,1778-02-24
1698,Henry Laurens,Thomas Wliarton jr.,1778-02-24
1699,Henry Laurens,Samuel Alleyne Otis,1778-02-24
1700,Jonathan Bayard Smith,Joseph Reed,1778-02-25
1701, Committee of Conference,Minutes,1778-02-28
1702,Jonathan Bayard Smith,Thomas Wharton jr.,1778-02-28
1703,Henry Laurens,George Washington,1778-03-01
1704,Henry Laurens,Francis Dana,1778-03-01
1705,William Ellery,Nicholas Cooke,I1778-03-01
1706, Committee of Conference,Minutes,1778-03-01
1707,John Henry jr.,to Nichola* Thomas,1778-03-02
1708,William Ellery,John Langdon,1778-03-02
1709,Henry Laurens,Francis Dana,1778-03-03
1710,Henrj' Laurens,John Laurens,1778-03-03
1711,Henry Laurens, Marquis de Lafayette,1778-03-04
1712,Gouverneur Morris,George Clinton,1778-03-04
1713,William Duer,Robert Morris,1778-03-05
1714, Committee of Conference,Minutes,1778-03-07 
1715,Henry Laurens,John Burgoyne,1778-03-06
1716,John Henry jr.,to Thomas Johnson jr.,03 06. 1778
1717,Oliver Wolcott,Mrs. Wolcott,1778-03-06
1718,John Penn,Robert Alorris,1778-03-06
1719, Committee of Conference,George Washington,1778-03-06
1720,Henry- Laurens, Marquis de Lafayette,1778-03-06
1721,Henry Laurens,Samuel Adams,1778-03-07
1722,Henry Laurens, Marquis de Lafayette,1778-03-07
1723, Committee of Conference,Minutes,1778-03-12 
1724, Committee of Conference,George Washington,1778-03-09
1725,James Lovell,Samuel Adams,1778-03-10
1726,Eliphalet Dyer,Jeremiah Wadsworth,1778-03-10
1727,Eliphalet Dyer,William Williams,1778-03-10
1728,John Henry jr.,to Thomas Johnson jr.,1778-03-10
1729,Jonathan Bayard Smith,Thomas Wharton jr.,1778-03-10
1730,Jonathan Bayard Smith,James Young,1778-03-11
1731,Henry Laurens,John Rutledge,1778-03-11
1732,Eliphalet Dyer,Jonathan Trumbull,1778-03-12
1733,Henry Laurens,Jonathan Trumbull jr.,1778-03-12
1734,Thomas Burke,Richard Caswell,1778-03-12
1735,James Duane,George Ginton,1778-03-13
1736,Henry Laurens, Marquis de Lafayette,1778-03-13
1737,Jonathan Bayard Smith,Thomas Warton jr.,1778-03-16
1738, Committee of Conference,George Clinton,1778-03-16
1739,William Ellery,William Vernon,1778-03-16
1740,John Henry jr.,to Nicholas Thomas,1778-03-17
1741,Cornelius Harnett,William Wilkinson,1778-03-18
1742,A Committee of Congress,Thomas Wharton jr.,1778-03-18
1743,Daniel Roberdeau,Thomas Wharton jr.,1778-03-19
1744,Jonathan Bayard Smith,Thomas Wharton jr.,1778-03-19
1745,Henry Laurens,Egbert Benson,1778-03-20
1746,James Lovell,Samuel Adams,1778-03-20
1747,Cornelius Harnett,Richard Caswell,1778-03-20
1748,Henry Laurens,George Washington,1778-03-21
1749,James Lovell,Samuel Adams,1778-03-23
1750, Virginia Delegates,Patrick Henry,1778-03-23
1751,Henry Laurens,Baron de Kalb,1778-03-24
1752,Henry Laurens, Marquis de Lafayette,1778-03-24
1753,Henry Laurens, Marquis de Lafayette,1778-03-24
1754,Henry Laurens,George Clinton,1778-03-24
1755,James Forbes,Thomas Johnson jr.,1778-03-24
1756,Henry Laurens,William Heath,1778-03-25
1757,Henry Laurens,George Clymer,1778-03-27
1758,Henry Laurens, Marquis de Lafayette,1778-03-27
1759,Elbridge Gerry,Jeremiah Powell,1778-03-28
1760,Abraham Qark,Jeremiah Wadsworth,1778-03-29
1761,Henry Laurens,John Laurens,1778-03-29
1762,Henry Laurens,George Washington,1778-03-30
1763,Francis Lightfoot Lee,George Weedon,1778-03-31
1764,Cornelius Harnett,Jethro Sumner,1778-04-01
1765,Thomas McKean,George Read,1778-04-03
1766,Henry Laurens,George Washington,1778-04-04
1767,William Ellery,Nicholas Cooke,1778-04-05
1768,Henry Laurens,Horatio Gates,1778-04-06
1769,Henry Laurens,Robert Morris,1778-04-06
1770,Henry Laurens,James Duane,1778-04-07
1771,Henry Laurens,Roderique Hortales and Company,1778-04-07
1772,A Committee of Congress,Benjamin Rush,1778-04-07
1773,Henry Laurens,George Washington,1778-04-08
1774,Henry Laurens,Philip Schuyler,1778-04-08
1775,Henry Laurens,George Morgan,1778-04-09
1776,Thomas Burke,Richard Caswell,1778-04-09
1777,Henry Laurens,John Laurens,1778-04-09
1778,Francis Lewis,Pierre Van Cortlandt,1778-04-10
1779,William Duer,Robert Morris,1778-04-12
1780,Engagement of Members,Meet Punctually etc.,1778-04-12
1781,James Lovell,Joseph Trumbull,1778-04-13
1782,Henry Laurens,George Washington,1778-04-14
1783,Oliver Wolcott,Mrs. Wolcott,1778-04-14
1784, Committee of Foreign Affairs,William Bingham,1778-04-16
1785,Jonathan Bayard Smith,Thomas Wharton jr.,1778-04-16
1786,John Banister,George Washington,1778-04-16
1787,Henry Laurens,James Duane,1778-04-17
1788,James Lovell,Samuel Adams,1778-04-18
1789,Gouverneur Morris,George Washington,1778-04-18
1790,James Lovell,Samuel Adams,1778-04-19
1791,Henry Laurens,William Livingston,1778-04-19
1792,Samuel Chase,Thomas Johnson jr.,1778-04-20
1793,John Henry jr.,to Thomas Johnson jr.,1778-04-20
1794, Virginia Delegates,Patrick Henry,1778-04-21
1795,Charles Carroll of Carrollton,Thomas Johnson jr.,1778-04-21
1796,Henry Laurens,Notes on Measure for Half-Pay,1778-04-21
1797,Henry Laurens,William Aylett,1778-04-22
1798,Charles Carroll of Carrollton,Thomas Johnson jr.,1778-04-23
1799,Henry Laurens,Patrick Henry,1778-04-24
1800,John Henry jr.,to Thomas Johnson jr.,1778-04-24
1801,Henry Laurens,John Penn,1778-04-24
1802,Henry Laurens,William Smallwood,1778-04-24
1803,Oliver Wolcott,Mrs. Wolcott,1778-04-25
1804,William Ellery,Nicholas Cooke,1778-04-25
1805,Thomas Burke,Richard Caswell,1778-04-25
1806,John Maws,Thomas Bee,1778-04-26
1807,Henry Laurens,George Washington,1778-04-27
1808,Henry Laurens,George Washington,1778-04-27
1809,Henry Laurens,William Livingston,1778-04-27
1810,Henry Laurens,Richard Caswell,1778-04-27
1811,Thomas Burke,Henry Laurens,1778-04-28
1812,Henry Laurens,John Laurens,1778-04-28
1813,Henry Laurens,Louis Fleury,1778-04-28
1814,Henry Laurens,Henry Lee,1778-04-28
1815,Thomas McKean,Caesar Rodney,1778-04-28
1816,Henry Laurens,Jacob Christopher Zahn,1778-04-28
1817,Gouverneur Morris,John Jay,1778-04-28
1818,Thomas Burke, North Carolina Assembly,1778-04-29
1819, Connecticut Delegates,Jonathan Trumbull,1778-04-29
1820,Thomas Burke,Richard Caswell,1778-04-29
1821,Henry Laurens,Thomas Burke,1778-04-30
1822, New York Delegates,George Clinton,1778-04-30
1823,Henry Laurens,George Washington,1778-04-30
1824,Proposal for Treaty with Great Britain,unknown,1778-04-30
1825, Committee of Foreign Affairs, Commissioners at Paris,1778-04-30
1826,Henry Laurens,Francis Bailey,1778-04-30
1827,Henry Laurens,Rawlins Lowndes,1778-05-01
1828,Roger Sherman,Jonathan Trumbull,1778-05-01
1829,Gouverneur Morris,George Washington,1778-05-01
1830,William Henry Drayton,Motion,1778-05-01
1831,Oliver Wolcott,Mrs. Wolcott,1778-05-02
1832,Henry Laurens,John Lewis Gervais,1778-05-03
1833,Henry Laurens,George Washington,1778-05-03
1834,Henry Laurens,George Washington,1778-05-03
1835, Virginia Delegates,Patrick Henry,1778-05-03
1836,William Ellery,Nicholas Cooke,1778-05-03
1837,Samuel Chase,Thomas Johnson jr.,1778-05-03
1838,Gouverneur Morris,John Jay,1778-05-03
1839,Robert Morris,William Bingham,1778-05-05
1840,Henry Laurens,George Washington,1778-05-05
1841,Henry Laurens,Baron Steuben,1778-05-05
1842,William Ellery,William Vernon,1778-05-06
1843,Henry Laurens,William Livingston,1778-05-06
1844,Henry Laurens,Thomas Johnson jr.,1778-05-08
1845,Henry Laurens,James Mease,1778-05-08
1846,Oliver Wolcott,Mrs. Wolcott,1778-05-09
1847,Henry Laurens,Meshech Weare,1778-05-11
1848,Henry Laurens,Baron Steuben,1778-05-11
1849,Henry Laurens,Pierre Etienne Duponceau,1778-05-11
1850,Henry Laurens,John Laurens,1778-05-11
1851,Henry Laurens, Marquis de Lafayette,1778-05-11
1852,Gouverneur Morris,Robert Morris,1778-05-11
1853,Richard Henry Lee,Arthur Lee,1778-05-12
1854,Richard Henry Lee,John Adams,1778-05-13
1855,Henry Laurens,Samuel Alleyne Otis,1778-05-13
1856, Committee of Foreign Affairs, Commissioners at Paris,1778-05-14
1857, Committee of Foreign Affairs,William Lee,1778-05-14
1858, Committee of Foreign Affairs,Ralph Izard,1778-05-14
1859, Committee of Foreign Affairs,Arthur Lee,1778-05-14
1860, Committee of Foreign Affairs,William Bingham,1778-05-14
1861, Board of War,William 08ustus Atlee,1778-05-14
1862,William Ellery,unknown,1778-05-14
1863,Henry Laurens,George Washington,1778-05-15
1864, Committee of Foreign Affairs, Commissioners at Paris,1778-05-15
1865,James Lovell,Benjamin Franklin,1778-05-15
1866, Committee of Commerce, Commissioners at Paris,1778-05-16
1867,Henry Laurens,Lachlan Mcintosh,1778-05-16
1868,Thomas McKean,Mrs. McKean,1778-05-16
1869,Henry Laurens,John Laurens,1778-05-16
1870,William Duer,Horatio Gates,1778-05-16
1871,A Committee of Congress,Thomas Johnson jr.,1778-05-16
1872,Henry Laurens,Rawlins Lowndes,1778-05-17
1873,Henry Laurens, Marquis de Lafayette,1778-05-17
1874,Henry Laurens,David Espy and Ors,1778-05-17
1875,Henry Laurens,William Moultrie,1778-05-18
1876,Oliver Wolcott,Jonathan Trumbull jr.,1778-05-18
1877,William Ellery,William Greene,1778-05-18
1878, Connecticut Delegates,Jonathan Trumbull,1778-05-18
1879,Samuel Huntington,Joseph Trumbull,1778-05-19
1880,Richard Henry Lee,Arthur Lee,1778-05-19
1881, Board of War,George Washington,1778-05-19
1882, Committee of Foreign Affairs,Jesse Brown,1778-05-19
1883,Henry Laurens,George Washington,1778-05-20
1884,Gouverneur Morris,George Washington,1778-05-21
1885,Gouverneur Morris,George Washington,1778-05-22
1886,Henry Laurens,George Washington,1778-05-25
1887,James Lovell,William Whipple,1778-05-25
1888,Henry Laurens,Baron Steuben,1778-05-25
1889,Henry Laurens,John Stark,1778-05-25
1890,Samuel Adams,James Warren,1778-05-25
1891,Josiah Bartlett,Meshech Weare,1778-05-27
1892,Gouverneur Morris,George Washington,1778-05-27
1893,Henry Laurens,Philip Schuyler,1778-05-28
1894,Henry Laurens,Baron Steuben,1778-05-29
1895,Henry Laurens, Marquis de Lafayette,1778-05-29
1896,Henry Laurens,William 08ustus Atlee,1778-05-29
1897,Daniel Roberdeau,George Bryan,1778-05-30
1898,Henry Laurens, IMarquis de Lafayette,1778-05-31
1899,William Ellery,William Whipple,1778-05-31
1900,Henry Laurens,Rawlins Lowndes,1778-06-01
